17,16,20,21,4.857143,4.666667,4.571429,4.666667,4.285714,3.6,4.285714,3.8,4.285714,4.2,4.2,2.4,5.4,4.692308,4.105263,4.117647,4,80,74,79,33
15,13,21,21,5.142857,5.666667,3.714286,5.666667,4,5,4.857143,4.6,3.142857,4.8,5.4,3,5.2,5,4.578947,4.058824,4.533333,78,55,62,28
16,16,16,18,3.142857,2.5,2.714286,3.166667,3.714286,5.2,5.714286,4.2,4.285714,4.8,4.8,5,5.6,2.884615,4.842105,4.411765,5.133333,85,73,57,32
16,11,21,21,4.714286,4.833333,1.571429,6.166667,3.428571,3.2,3.571429,5.8,6,4.6,2.8,4.2,4.6,4.230769,3.421053,5.529412,3.866667,92,75,75,27
18,16,20,20,5.285714,5,5,4.666667,4.857143,4.4,4.857143,5.8,3.714286,4.6,5.8,5.2,4.4,5,4.736842,4.588235,5.133333,77,54,51,34
20,18,18,21,4.142857,4.5,4.714286,4.5,3.285714,2.8,3.571429,.,4.142857,3.6,4.8,4.6,4.2,4.461538,3.263158,.,4.533333,63,56,66,38
18,18,19,20,4.571429,5.5,2.142857,4.5,4.571429,4.4,2.857143,4.4,6.285714,4.6,5.2,5.6,4.2,4.115385,3.894737,5.235294,5,45,71,38,36
16,13,18,15,4.714286,4.666667,6.428571,2.333333,4.142857,.,5.285714,3.2,3.571429,2.4,5.4,6.4,3.8,4.615385,.,3.117647,5.2,69,58,61,29
13,11,20,21,4.714286,4.5,6.142857,3.333333,4.714286,3.6,5.142857,4.6,5.857143,6.6,2.8,1.6,4,4.730769,4.578947,5.705882,2.8,81,74,59,24
15,15,18,19,4.714286,6.333333,3.714286,2.666667,6.142857,6.2,6.571429,3.2,3.714286,1.2,3.8,2.8,4.2,4.346154,6.315789,2.823529,3.6,77,67,66,30
18,19,16,14,3.285714,3.833333,4,3.166667,3.857143,4,4,5.2,5.571429,4,4.2,5.6,6,3.576923,3.947368,5,5.266667,82,68,56,37
12,12,12,12,4,3.166667,5.428571,2.333333,5.285714,3.6,3.857143,2.4,5.285714,4.6,5.6,6.6,6.8,3.807692,4.315789,4.235294,6.333333,91,78,50,24
17,4,9,9,3.142857,3.166667,3.571429,3.5,4.714286,5,3.428571,6.6,4.714286,6.2,3.6,2.6,4,3.346154,4.315789,5.705882,3.4,66,61,60,21
19,19,12,14,5,4.166667,5.142857,4.5,2.857143,3.8,3.142857,6.2,4.428571,3.8,4.6,5.8,6,4.730769,3.210526,4.764706,5.466667,57,54,61,38
21,21,18,17,4.571429,3.666667,5.142857,3.666667,5,5.2,4.428571,5.6,5.857143,5.6,6,6,6.4,4.307692,4.842105,5.705882,6.133333,64,50,60,42
15,16,21,21,4.285714,5.333333,5.428571,6,4.714286,2.2,3.714286,4.6,3.714286,4.2,5.2,4.8,5.6,5.230769,3.684211,4.117647,5.2,73,57,81,31
14,14,11,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,62,42,28
17,13,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30
21,21,21,21,2.142857,2,4,4.666667,5.428571,4.4,5.428571,3.8,3,5.2,6.2,5.6,6.6,3.192308,5.157895,3.882353,6.133333,102,58,52,42
14,13,17,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27
18,20,18,20,3.285714,3.166667,4.857143,5,6.285714,3.8,4,5.4,3.714286,4.8,4.6,4,6,4.076923,4.789474,4.529412,4.866667,61,33,44,38
21,21,21,21,2.428571,4.666667,5.285714,3.833333,6.571429,5.8,4.428571,6.2,5.571429,5.6,6.8,5.4,7,4.038462,5.578947,5.764706,6.4,83,75,44,42
16,14,16,19,4,3.5,4.428571,5,5.428571,4.8,4.428571,4.6,3.285714,5.4,5.2,4.6,5.2,4.230769,4.894737,4.294118,5,87,53,64,30
21,21,21,21,4.857143,4.333333,6.285714,3.666667,6.142857,5.2,4.285714,2.6,4.142857,5,6,4.2,5.8,4.846154,5.210526,3.941176,5.333333,103,66,82,42
18,8,13,15,5.428571,5.166667,5.857143,4.833333,5.142857,4.6,4.428571,5.2,4.142857,5.2,5.8,5.8,7,5.346154,4.736842,4.764706,6.2,98,77,73,26
19,19,20,19,4.714286,4.666667,5.285714,5.5,6.142857,4.2,6.285714,3.6,3.714286,4.2,6.2,6.4,6.6,5.038462,5.684211,3.823529,6.4,90,83,72,38
10,8,4,3,2,3.666667,2.285714,3.666667,1.428571,2.2,3.857143,3.6,5.571429,5.6,4.4,3.8,6,2.846154,2.526316,5,4.733333,23,34,27,18
20,16,12,17,5.571429,3.5,4.142857,3.333333,5.428571,3.2,3.428571,3,5,5.4,5.6,6.2,5,4.192308,4.105263,4.529412,5.6,74,44,23,36
7,5,20,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,71,53,12
18,17,21,21,3.142857,2.833333,4.142857,2.666667,4.285714,4.4,5.714286,5,4.428571,4.2,3,4.4,3.6,3.230769,4.842105,4.529412,3.666667,40,44,35,35
18,17,18,21,4.857143,4.5,4.285714,5.333333,5.285714,4.2,4.857143,4.2,3.428571,4,3.6,3.4,4.4,4.730769,4.842105,3.823529,3.8,67,60,61,35
